iter	AUC	Logloss
790	0.8014600873	0.5676243092
791	0.8014672399	0.5676013101
792	0.8014985621	0.5675805131
793	0.8014999032	0.5675513565
794	0.8015001118	0.5675308041
795	0.8015089929	0.567505603
796	0.8015206158	0.5674843166
797	0.8015306294	0.56746197
798	0.8015431464	0.5674418254
799	0.801542908	0.5674136882
800	0.8015656173	0.567391627
801	0.8015753627	0.5673681386
802	0.8015781939	0.5673448133
803	0.8015806377	0.5673141479
804	0.8015906513	0.5672859291
805	0.8015966415	0.5672617475
806	0.801605314	0.5672392377
807	0.8016147017	0.5672146891
808	0.8016217649	0.5671881015
809	0.8016277552	0.5671606983
810	0.8016285002	0.5671333767
811	0.8016368449	0.5671089504
812	0.8016483784	0.5670820774
813	0.8016582727	0.567057284
814	0.8016678691	0.5670303702
815	0.8016738892	0.5670035787
816	0.8016858697	0.5669848206
817	0.8016951084	0.5669604351
818	0.8016933203	0.5669344999
819	0.8016946912	0.566912398
820	0.8017006516	0.566884954
821	0.8017169535	0.5668631375
822	0.8017252684	0.5668392821
823	0.8017374873	0.5668197084
824	0.8017517924	0.5667982997
825	0.8017542064	0.5667744035
826	0.8017625809	0.5667485907
827	0.8017693758	0.56672184
828	0.8017780483	0.5667033265
829	0.8017903864	0.5666802051
830	0.8017953932	0.5666530466
831	0.8018248379	0.5666351449
832	0.8018327951	0.5666088427
833	0.8018358052	0.5665829076
834	0.8018410802	0.5665574618
835	0.8018440008	0.5665380105
836	0.8018524349	0.5665117491
837	0.8018666506	0.5664916453
838	0.8018808365	0.5664710522
839	0.8018890619	0.5664476861
840	0.8018927574	0.5664259103
841	0.8018961549	0.5664015248
842	0.8019032478	0.5663795452
843	0.8019065857	0.5663535693
844	0.8019120097	0.5663320382
845	0.8019205332	0.5663116082
846	0.8019325137	0.5662882829
847	0.8019373715	0.566263775
848	0.8019445539	0.5662392671
849	0.8019481301	0.566217002
850	0.8019546568	0.566191597
851	0.8019663095	0.5661661104
852	0.8019755483	0.5661401345
853	0.8019858599	0.5661185627
854	0.8019871116	0.5660977249
855	0.8020015657	0.5660786405
856	0.8020148277	0.5660585775
857	0.8020164669	0.5660303996
858	0.8020271063	0.5660083384
859	0.8020437658	0.5659904774
860	0.8020530343	0.5659699658
