iter	Passed	Remaining
1156	61098	731011
1157	61146	730903
1158	61199	730850
1159	61250	730783
1160	61300	730697
1161	61350	730611
1162	61404	730574
1163	61459	730540
1164	61511	730487
1165	61572	730531
1166	61628	730506
1167	61678	730428
1168	61730	730367
1169	61788	730374
1170	61851	730443
1171	61903	730381
1172	61961	730387
1173	62012	730312
1174	62061	730211
1175	62110	730119
1176	62163	730065
1177	62216	730019
1178	62267	729942
1179	62328	729987
1180	62390	730036
1181	62448	730050
1182	62502	730005
1183	62553	729935
1184	62602	729834
1185	62671	729971
1186	62720	729873
1187	62779	729892
1188	62834	729863
1189	62880	729733
1190	62928	729626
1191	62995	729733
1192	63057	729791
1193	63109	729728
1194	63160	729646
1195	63215	729618
1196	63267	729555
1197	63332	729651
1198	63384	729586
1199	63440	729562
1200	63497	729554
1201	63563	729661
1202	63632	729786
1203	63691	729806
1204	63741	729726
1205	63800	729741
1206	63871	729889
1207	63921	729808
1208	63970	729712
1209	64031	729748
1210	64077	729614
1211	64126	729520
1212	64173	729402
1213	64230	729390
1214	64293	729455
1215	64355	729508
1216	64408	729452
1217	64457	729355
1218	64516	729372
1219	64576	729396
1220	64625	729294
1221	64683	729304
1222	64733	729222
1223	64791	729224
1224	64841	729135
1225	64900	729155
1226	64949	729055
1227	64999	728972
1228	65065	729063
1229	65113	728955
1230	65171	728958
1231	65229	728959
1232	65284	728935
1233	65342	728936
1234	65392	728845
1235	65448	728828
1236	65507	728843
1237	65560	728786
1238	65614	728747
1239	65663	728651
1240	65724	728685
1241	65778	728649
1242	65839	728683
1243	65894	728650
1244	65944	728569
1245	65990	728436
1246	66044	728398
1247	66096	728332
1248	66159	728391
1249	66216	728386
1250	66275	728394
1251	66337	728444
1252	66405	728556
1253	66461	728536
1254	66509	728427
1255	66565	728407
1256	66615	728315
1257	66668	728261
1258	66728	728287
1259	66787	728303
1260	66840	728243
1261	66900	728274
1262	66945	728136
1263	66998	728082
1264	67057	728092
1265	67116	728100
1266	67162	727972
1267	67211	727877
1268	67265	727836
1269	67316	727756
1270	67365	727668
1271	67425	727682
1272	67481	727660
1273	67530	727572
1274	67585	727534
1275	67638	727487
1276	67687	727383
1277	67739	727329
1278	67791	727261
1279	67849	727258
1280	67901	727194
1281	67957	727180
1282	68012	727147
1283	68067	727118
1284	68120	727055
1285	68172	727001
1286	68237	727071
1287	68292	727039
1288	68349	727026
1289	68402	726978
1290	68450	726863
1291	68507	726859
1292	68555	726753
1293	68608	726696
1294	68671	726753
1295	68725	726704
1296	68773	726606
1297	68827	726559
1298	68880	726505
1299	68931	726436
1300	68982	726353
1301	69037	726322
1302	69094	726318
1303	69146	726247
1304	69197	726172
1305	69256	726188
1306	69303	726070
1307	69362	726075
1308	69414	726015
1309	69481	726109
1310	69539	726107
1311	69586	725988
1312	69640	725951
1313	69700	725966
1314	69753	725914
1315	69811	725916
1316	69863	725845
1317	69918	725812
1318	69974	725796
1319	70036	725831
1320	70086	725744
1321	70148	725783
1322	70197	725696
1323	70256	725697
1324	70313	725688
1325	70369	725666
1326	70428	725675
1327	70481	725615
1328	70536	725581
1329	70591	725556
1330	70643	725485
1331	70692	725393
1332	70749	725383
1333	70797	725275
1334	70857	725289
1335	70918	725320
1336	70969	725251
1337	71029	725270
1338	71083	725219
1339	71142	725226
1340	71195	725172
1341	71245	725085
1342	71296	725017
1343	71366	725129
1344	71425	725137
1345	71478	725089
1346	71535	725071
1347	71596	725101
1348	71650	725058
1349	71703	725005
1350	71755	724936
1351	71814	724940
1352	71869	724911
1353	71929	724921
1354	71983	724878
1355	72026	724731
1356	72078	724658
1357	72129	724589
1358	72185	724562
1359	72246	724585
1360	72306	724601
1361	72374	724697
1362	72424	724618
1363	72483	724623
1364	72536	724564
1365	72587	724498
1366	72641	724449
1367	72691	724362
1368	72740	724273
1369	72789	724172
1370	72848	724184
1371	72908	724195
1372	72958	724115
1373	73010	724045
1374	73068	724038
1375	73119	723971
1376	73178	723971
1377	73224	723848
1378	73283	723855
1379	73340	723841
1380	73394	723793
1381	73448	723751
1382	73510	723786
1383	73565	723751
1384	73619	723702
1385	73672	723651
1386	73724	723583
1387	73780	723562
1388	73833	723504
1389	73886	723453
1390	73943	723437
1391	74000	723423
1392	74052	723350
1393	74110	723350
1394	74161	723269
1395	74217	723244
1396	74275	723239
1397	74325	723158
1398	74380	723124
1399	74443	723165
1400	74502	723173
1401	74558	723144
1402	74606	723036
1403	74659	722984
1404	74716	722966
1405	74768	722905
1406	74835	722988
